rep.c.1.69...each...4.,NA.,X0.05,low,high
1,714.666,0.05,NA,NA
1,736.648,0.05,9.9,10.1
1,752.6219,0.05,9.9,10.1
1,731.692,0.05,9.9,10.1
2,740.6816,0.05,NA,NA
2,762.6636,0.05,9.9,10.1
2,778.6375,0.05,9.9,10.1
2,757.7076,0.05,9.9,10.1
3,768.7129,0.05,NA,NA
3,790.6949,0.05,10.39,10.55
3,806.6688,0.05,10.39,10.55
3,785.7389,0.05,10.39,10.55
4,796.7442,0.05,NA,NA
4,818.7262,0.05,10.87,11.04
4,834.7001,0.05,10.87,11.04
4,813.7702,0.05,10.87,11.04
5,824.7755,0.05,NA,NA
5,846.7575,0.05,11.28,11.44
5,862.7314,0.05,11.28,11.44
5,841.8015,0.05,11.28,11.44
6,850.7912,0.05,NA,NA
6,872.7732,0.05,11.31,11.475
6,888.7471,0.05,11.31,11.475
6,867.8172,0.05,11.31,11.475
7,876.8068,0.05,NA,NA
7,898.7888,0.05,11.23,11.39
7,914.7627,0.05,11.23,11.39
7,893.8328,0.05,11.23,11.39
8,902.8225,0.05,NA,NA
8,924.8045,0.05,11.25,11.42
8,940.7784,0.05,11.25,11.42
8,919.8485,0.05,11.25,11.42
9,930.8538,0.05,NA,NA
9,952.8358,0.05,11.6,11.76
9,968.8097,0.05,11.6,11.76
9,947.8798,0.05,11.6,11.76
10,602.5893,0.05,NA,NA
10,624.5713,0.05,NA,NA
10,640.5452,0.05,NA,NA
10,619.6153,0.05,NA,NA
11,630.6206,0.05,NA,NA
11,652.6026,0.05,NA,NA
11,668.5765,0.05,NA,NA
11,647.6466,0.05,NA,NA
12,658.6519,0.05,NA,NA
12,680.6339,0.05,11.41,11.565
12,696.6078,0.05,11.41,11.565
12,675.6779,0.05,11.41,11.565
13,682.6519,0.05,NA,NA
13,704.6339,0.05,11,11.17
13,720.6078,0.05,11,11.17
13,699.6779,0.05,11,11.17
14,708.6676,0.05,NA,NA
14,730.6496,0.05,11.07,11.22
14,746.6235,0.05,11.07,11.22
14,725.6936,0.05,11.07,11.22
15,543.5482,0.05,5.835,5.97
15,565.5302,0.05,5.835,5.97
15,581.5041,0.05,5.835,5.97
15,560.5742,0.05,NA,NA
16,571.5795,0.05,6.6,6.75
16,593.5615,0.05,6.6,6.75
16,609.5354,0.05,6.6,6.75
16,588.6055,0.05,NA,NA
17,599.6108,0.05,7.29,7.44
17,621.5928,0.05,7.29,7.44
17,637.5667,0.05,7.29,7.44
17,616.6368,0.05,NA,NA
18,627.6421,0.05,7.9,8.2
18,649.6241,0.05,7.9,8.2
18,665.598,0.05,7.9,8.2
18,644.6681,0.05,NA,NA
19,655.6734,0.05,8.6,8.8
19,677.6554,0.05,8.6,8.8
19,693.6293,0.05,8.6,8.8
19,672.6994,0.05,NA,NA
20,710.6162,0.05,5.1,5.3
20,732.5982,0.05,5.1,5.3
20,748.5721,0.05,NA,NA
20,727.6422,0.05,NA,NA
21,738.6475,0.05,5.9,6.1
21,760.6295,0.05,5.9,6.1
21,776.6034,0.05,NA,NA
21,755.6735,0.05,NA,NA
22,766.6788,0.05,6.6,6.75
22,788.6608,0.05,6.6,6.75
22,804.6347,0.05,6.5,6.7
22,783.7048,0.05,NA,NA
23,794.7101,0.05,NA,NA
23,816.6921,0.05,NA,NA
23,832.666,0.05,NA,NA
23,811.7361,0.05,NA,NA
24,822.7414,0.05,NA,NA
24,844.7234,0.05,NA,NA
24,860.6973,0.05,NA,NA
24,839.7674,0.05,NA,NA
25,723.57,0.05,NA,NA
25,745.552,0.05,NA,NA
25,761.5259,0.05,NA,NA
25,740.596,0.05,NA,NA
26,751.6013,0.05,6.2,6.45
26,773.5833,0.05,6.2,6.45
26,789.5572,0.05,NA,NA
26,768.6273,0.05,NA,NA
27,779.6326,0.05,6.9,7.2
27,801.6146,0.05,6.9,7.2
27,817.5885,0.05,NA,NA
27,796.6586,0.05,NA,NA
28,803.6326,0.05,6.5,6.7
28,825.6146,0.05,6.5,6.7
28,841.5885,0.05,NA,NA
28,820.6586,0.05,NA,NA
29,829.6483,0.05,6.72,6.85
29,851.6303,0.05,6.72,6.85
29,867.6042,0.05,NA,NA
29,846.6743,0.05,NA,NA
30,681.5231,0.05,NA,NA
30,703.5051,0.05,NA,NA
30,719.479,0.05,NA,NA
30,698.5491,0.05,NA,NA
31,709.5544,0.05,NA,NA
31,731.5364,0.05,NA,NA
31,747.5103,0.05,NA,NA
31,726.5804,0.05,NA,NA
32,737.5857,0.05,NA,NA
32,759.5677,0.05,NA,NA
32,775.5416,0.05,NA,NA
32,754.6117,0.05,NA,NA
33,761.5857,0.05,NA,NA
33,783.5677,0.05,NA,NA
33,799.5416,0.05,NA,NA
33,778.6117,0.05,NA,NA
34,787.6013,0.05,NA,NA
34,809.5833,0.05,NA,NA
34,825.5572,0.05,NA,NA
34,804.6273,0.05,NA,NA
35,712.5172,0.05,NA,NA
35,734.4991,0.05,NA,NA
35,750.4731,0.05,NA,NA
35,729.5432,0.05,NA,NA
36,740.5485,0.05,NA,NA
36,762.5304,0.05,NA,NA
36,778.5044,0.05,NA,NA
36,757.5745,0.05,NA,NA
37,768.5798,0.05,NA,NA
37,790.5617,0.05,NA,NA
37,806.5357,0.05,NA,NA
37,785.6058,0.05,NA,NA
38,792.5798,0.05,NA,NA
38,814.5617,0.05,NA,NA
38,830.5357,0.05,NA,NA
38,809.6058,0.05,NA,NA
39,818.5955,0.05,NA,NA
39,840.5774,0.05,NA,NA
39,856.5514,0.05,NA,NA
39,835.6215,0.05,NA,NA
40,725.5125,0.05,NA,NA
40,747.4944,0.05,NA,NA
40,763.4684,0.05,NA,NA
40,742.5385,0.05,NA,NA
41,753.5438,0.05,NA,NA
41,775.5257,0.05,NA,NA
41,791.4997,0.05,NA,NA
41,770.5698,0.05,NA,NA
42,781.5751,0.05,NA,NA
42,803.557,0.05,NA,NA
42,819.531,0.05,NA,NA
42,798.6011,0.05,NA,NA
43,805.5751,0.05,NA,NA
43,827.557,0.05,NA,NA
43,843.531,0.05,NA,NA
43,822.6011,0.05,NA,NA
44,831.5907,0.05,NA,NA
44,853.5726,0.05,NA,NA
44,869.5466,0.05,NA,NA
44,848.6167,0.05,NA,NA
45,558.5146,0.05,NA,NA
45,580.4966,0.05,NA,NA
45,596.4705,0.05,NA,NA
45,575.5406,0.05,NA,NA
46,586.5459,0.05,NA,NA
46,608.5279,0.05,NA,NA
46,624.5018,0.05,NA,NA
46,603.5719,0.05,NA,NA
47,614.5772,0.05,NA,NA
47,636.5592,0.05,8.09,8.29
47,652.5331,0.05,8.09,8.29
47,631.6032,0.05,8.09,8.29
48,638.5772,0.05,7.64,7.83
48,660.5592,0.05,7.64,7.83
48,676.5331,0.05,7.64,7.83
48,655.6032,0.05,7.64,7.83
49,664.5928,0.05,7.8,8
49,686.5748,0.05,7.8,8
49,702.5487,0.05,7.8,8
49,681.6188,0.05,7.8,8
50,800.5332,0.05,4.82,4.93
50,822.5151,0.05,4.82,4.93
50,838.4891,0.05,NA,NA
50,817.5592,0.05,4.82,4.93
51,828.5645,0.05,5.5,5.61
51,850.5464,0.05,5.5,5.61
51,866.5204,0.05,NA,NA
51,845.5905,0.05,5.5,5.61
52,856.5958,0.05,6.2,6.34
52,878.5777,0.05,6.2,6.34
52,894.5517,0.05,NA,NA
52,873.6218,0.05,6.2,6.34
53,880.5958,0.05,5.78,5.92
53,902.5777,0.05,5.78,5.92
53,918.5517,0.05,NA,NA
53,897.6218,0.05,5.78,5.92
54,906.6114,0.05,6,6.1
54,928.5933,0.05,6,6.1
54,944.5673,0.05,NA,NA
54,923.6374,0.05,6,6.1
55,564.3191,0.05,0.91,1
55,586.301,0.05,0.91,1
55,602.275,0.05,NA,NA
55,581.3451,0.05,0.91,1
56,592.3504,0.05,1.55,1.66
56,614.3323,0.05,1.55,1.66
56,630.3063,0.05,NA,NA
56,609.3764,0.05,1.55,1.66
57,620.3817,0.05,2.6,2.7
57,642.3636,0.05,2.6,2.7
57,658.3376,0.05,NA,NA
57,637.4077,0.05,2.6,2.7
58,489.2984,0.05,NA,NA
58,511.2803,0.05,NA,NA
58,527.2543,0.05,NA,NA
58,506.3244,0.05,NA,NA
59,517.3297,0.05,NA,NA
59,539.3116,0.05,NA,NA
59,555.2856,0.05,NA,NA
59,534.3557,0.05,NA,NA
60,545.361,0.05,NA,NA
60,567.3429,0.05,NA,NA
60,583.3169,0.05,NA,NA
60,562.387,0.05,NA,NA
61,476.3032,0.05,1.05,1.15
61,498.2851,0.05,1.05,1.15
61,514.2591,0.05,NA,NA
61,493.3292,0.05,1.05,1.15
62,504.3345,0.05,1.8,1.91
62,526.3164,0.05,1.8,1.91
62,542.2904,0.05,NA,NA
62,521.3605,0.05,1.8,1.91
63,532.3658,0.05,NA,NA
63,554.3477,0.05,NA,NA
63,570.3217,0.05,NA,NA
63,549.3918,0.05,NA,NA
64,487.356,0.05,NA,NA
64,509.338,0.05,NA,NA
64,525.3119,0.05,NA,NA
64,504.382,0.05,NA,NA
65,515.3873,0.05,6.45,6.6
65,537.3693,0.05,6.45,6.6
65,553.3432,0.05,6.45,6.6
65,532.4133,0.05,6.45,6.6
66,543.4186,0.05,NA,NA
66,565.4006,0.05,NA,NA
66,581.3745,0.05,NA,NA
66,560.4446,0.05,NA,NA
67,445.3091,0.05,1.39,1.49
67,467.2911,0.05,NA,NA
67,483.265,0.05,NA,NA
67,462.3351,0.05,NA,NA
68,473.3404,0.05,2.3,2.5
68,495.3224,0.05,NA,NA
68,511.2963,0.05,NA,NA
68,490.3664,0.05,NA,NA
69,501.3717,0.05,3.225,3.35
69,523.3537,0.05,3.25,3.325
69,539.3276,0.05,NA,NA
69,518.3977,0.05,NA,NA
